"name","address","is_in"
"宮の森霊苑","北海道札幌市中央区宮の森１２６３−３",1
"宮の森病院","北海道札幌市中央区宮の森１２３７−１",1
"宮の森幼稚園","北海道札幌市中央区宮の森９０４−７",1
"イリーゼ・宮の森","北海道札幌市中央区宮の森２条１０丁目１−４３",1
"宮の森スタジオ","北海道札幌市中央区宮の森１条１１丁目１−２",1
"恵和会宮の森病院","北海道札幌市中央区宮の森１２３７−１",1
"宮の森会館","北海道札幌市中央区宮の森２条５丁目２−２１",1
"おたからや　宮の森店","北海道札幌市中央区宮の森３条１１丁目１−５２",1
"おたからや　宮の森店","北海道札幌市中央区宮の森３条１１丁目１−５２",1
"宮の森保育園","北海道札幌市中央区宮の森２条５丁目２−２０",1
"ＪＵＪＵＢＥ　宮の森","北海道札幌市中央区宮の森３条５丁目６−２６",1
"宮の森皮膚科","北海道札幌市中央区宮の森３条７丁目１−７０",1
"宮の森中央歯科","北海道札幌市中央区宮の森２条６丁目２",1
"宮の森記念病院","北海道札幌市中央区宮の森３条７丁目５−２５",1
"宮の森フランセス教会","北海道札幌市中央区宮の森３条１０丁目３−２５",1
"宮の森ミュージアム・ガーデン","北海道札幌市中央区宮の森２条１１丁目２−１",1
"宮の森アニマルホスピタル","北海道札幌市中央区宮の森４条１０丁目３−１４",1
"ＳＡＭＡ宮の森本店","北海道札幌市中央区宮の森１条１１丁目２−１１",1
"宮の森関口整骨院","北海道札幌市中央区宮の森３条４丁目６−１８",1
"北海市場宮の森店","北海道札幌市中央区宮の森４条４丁目３−１６",1
"宮の森歯科診療所","北海道札幌市中央区宮の森１条１０丁目４−５",1
"北海道エネルギー Dr.Drive 宮の森SS","札幌市中央区宮の森3条7-1-66",1
"宮の森シュウデンタルオフィス","北海道札幌市中央区宮の森３条４丁目６−１８",1
"宮の森すまいる治療院","北海道札幌市中央区宮の森１条１１丁目２−１",1
"宮の森明和地区会館","北海道札幌市中央区宮の森２条１１丁目１−３",1
"クラ・ゼミ　宮の森校","北海道札幌市中央区宮の森１条６丁目３−４５",1
"札幌宮の森美術館","北海道札幌市中央区宮の森２条１１丁目２−１",1
"銀家　札幌宮の森本店","北海道札幌市中央区宮の森１条１１丁目３−１",1
"札幌宮の森郵便局","北海道札幌市中央区宮の森２条１０丁目３−１０",1
"宮の森三条内科クリニック","北海道札幌市中央区宮の森３条６丁目２−１０",1
"ヴィルヌーブ宮の森管理人室","北海道札幌市中央区宮の森３条９丁目１−３０",1
"あだち美容室宮の森店","北海道札幌市中央区宮の森３条８丁目１−８",1
"なの花薬局　宮の森店","北海道札幌市中央区宮の森３条７丁目５−２２",1
"宮の森ドミール管理組合　法人","北海道札幌市中央区宮の森１条５丁目１−１２",1
"トヨタレンタカー宮の森店","北海道札幌市中央区宮の森3条1丁目1-50",1
"ガーディアンカラー神宮前宮の森本校","北海道札幌市中央区宮の森１条７丁目１−１０",1
"ハイマート宮の森管理事務所","北海道札幌市中央区宮の森１条１０丁目６−１",1
"ラベンダー宮の森　管理人室","北海道札幌市中央区宮の森１条６丁目１−１５",1
"サツドラ　宮の森・３条店","北海道札幌市中央区宮の森３条２丁目５−１",1
"宮の森フランセス教会・マリアクリスティ","北海道札幌市中央区宮の森３条１０丁目３−２５",1
"文教堂書店　宮の森店","北海道札幌市中央区宮の森３条１丁目５−３５",1
"札幌市　宮の森ジャンプ競技場","北海道札幌市中央区宮の森１条１８丁目",1
"和食レストランとんでん　宮の森店","北海道札幌市中央区宮の森３条１丁目５−４３",1
"宮の森整骨院・ミーズ（ＭＩＺＵ）","北海道札幌市中央区宮の森１条５丁目１−４",1
"ケンタッキーフライドチキン宮の森店","北海道札幌市中央区宮の森２条１０丁目５−１０",1
"佐藤水産株式会社　宮の森店","北海道札幌市中央区宮の森３条１丁目５",1
"ファミリーマート　札幌宮の森中央店","北海道札幌市中央区宮の森３条１丁目５−６４",1
"ファミリーマート　札幌宮の森中央店","北海道札幌市中央区宮の森3条1-64",1
"株式会社マザーズ　札幌宮の森店","北海道札幌市中央区宮の森２条１１丁目６−１",1
"ダイハツ北海道販売株式会社　宮の森店","北海道札幌市中央区宮の森３条１丁目５−４５",1
"株式会社トヨタレンタリース札幌　宮の森店","北海道札幌市中央区宮の森３条１丁目１−５０",1
"宮の森大倉山連合町内会","北海道札幌市中央区宮の森２条１１丁目１−３",1
"札幌市立小学校　宮の森小学校","北海道札幌市中央区宮の森４条６丁目",1
"ローソン　札幌宮の森１条店","北海道札幌市中央区宮の森１条１１丁目３−１",1
"北海道エネルギー株式会社　宮の森ＳＳ","北海道札幌市中央区宮の森３条７丁目１７",1
"ギーズグリーン宮の森店生花部門","北海道札幌市中央区宮の森３条５丁目６−１９",1
"サザエ食品株式会社　宮の森本店","北海道札幌市中央区宮の森４条１丁目１−３５",1
"佐藤水産株式会社宮の森店","北海道札幌市中央区宮の森３条１丁目５−４６",1
"北海道銀行　中央区宮の森パーソナル支店","北海道札幌市中央区宮の森３条６丁目５−１",1
"公文式数国英宮の森教室","北海道札幌市中央区宮の森２条１０丁目５−１７",1
"こどもサポート教室クラ・ゼミ　宮の森校","北海道札幌市中央区宮の森１条６丁目３−４５",1
"ライオンズマンション宮の森公園南管理組合","北海道札幌市中央区宮の森３条５丁目２−２５",1
"ファミリーマート　札幌宮の森３条店","北海道札幌市中央区宮の森３条６丁目２−８",1
"札幌日産自動車株式会社　宮の森店","北海道札幌市中央区宮の森１条１丁目１−１",1
"札幌市立中学校　宮の森中学校","北海道札幌市中央区宮の森１条１６丁目",1
"株式会社道新販売センター　宮の森販売所","北海道札幌市中央区宮の森３条１０丁目３−１３",1
"株式会社道新販売センター宮の森販売所","北海道札幌市中央区宮の森３条１０丁目３−１３",1
"セブン‐イレブン　札幌宮の森４条店","北海道札幌市中央区宮の森４条４丁目３−６",1
